,Título,Apoyos,Fecha,Categoría,Categoría Completa,Autores,URL,Descripción
616,POR UNA EDUCACION DE EXCELENCIA HUMANISTA Y GENERADORA DE AUTONOMÍA,488,2022-01-20 01:10:32,derechos,4 - Derechos Fundamentales,Por Asociación Nocional de Profesores Normalistas de Chile A.G,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"La actual Constitución establece un mínimo de normas acerca de la Educación. La consecuencia de esto ha sido que ha dado espacio para que la Educación nacional haya ido de reforma en reforma. Esto ha impedido un quehacer sostenido en el tiempo que consolide un Sistema Nacional de Educación que genere la formación de una ciudadanía con características comunes sustentables en el tiempo.
Es válido que un Sistema Nacional de Educación experimente un proceso de optimización que le posibilite responder a los requerimientos de una sociedad en permanente cambio. Sin embargo, es imprescindible que el Sistema Nacional de Educación cuente y mantenga ciertos ejes estructurales, orientaciones y fines que le den estabilidad en el tiempo. Esta condición es la que posibilita llegar a contar con una cultura compartida por la ciudadanía, cultura que conlleva valores, actitudes, hábitos y  como consecuencia  estabilidad en el SER, DESEAR Y PROYECTARSE.
La Educación es la amalgama que le da un sello, una idiosincrasia, un ser propio y diferenciador a una comunidad país. Ello exige diseñar, instalar y consolidar un Sistema Nacional de Educación que responda a la idiosincrasia de la comunidad a la cual sirve y que estando en disposición de permanente optimización, lo haga sobre la base de un marco estructural que garantiza la consolidación del deber y querer ser de la comunidad toda."
617,"RECONOCERNOS PARTE DE UN ECOSISTEMA MAYOR Y DE FUERZAS NATURALES QUE NOS RIGEN, BASE DE TODA SUBSISTENCIA, FUNDAMENTALES DE PROTEGER Y PRESERVAR",169,2022-01-20 01:10:18,medio_ambiente,"5 - Medio Ambiente, Derechos de la Naturaleza, Bienes Naturales Comunes y Modelo Económico",Por Sven Martin B.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"Advertir, como base de todo, que pertenecemos a un ecosistema mayor fundamental de proteger y preservar. Ubicarnos como humanidad y que la convivencia en este ecosistema mayor es NO antropocéntrica."
618,Derecho a la Lectura para generar políticas publicas que erradiquen el Analfabetismo Funcional,133,2022-01-20 01:10:10,derechos,4 - Derechos Fundamentales,Por Waldo Carrasco S.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"En nuestro país la lucha contra el analfabetismo es una vocación histórica, aunque con algún nivel de retroceso en la última década, las cifras de alfabetos son optimistas. Pero hoy hay un desafío aún más prioritario, ignorado por nuestra institucionalidad y que limita a los chilenos y chilenas en el ejercicio de sus derechos humanos y sociales más elementales: el ANALFABETISMO FUNCIONAL 
Si en el pasado las diferencias y desigualdades culturales estuvieron marcadas entre quienes sabían leer y los que no; en el futuro la brecha de desigualdad estará entre quienes entienden lo que leen y los que no entienden. 
Las cifras pre pandemia ubicaban a Chile casi en el último lugar, entre los países OCDE, en materia de comprensión lectora. Una mayoría, cada vez más creciente, de chilenos y chilenas sabe leer, pero no entiende lo que lee. 
La explicación principal radica en la pérdida del hábito lecto-escritor. Terminada la edad de formación estudiantil y/o técnico-profesional, las personas experimentan menos exigencias y evaluaciones que requieren la lectura en estándares de complejidad. Ello ocasiona la existencia de personas que son capaces de leer instrucciones elementales pero no soportan ser sometidos a exigencias de comprensión un poco más complejas. El modelo económico imperante, el régimen laboral asociado a él, junto a un estado precario en materia de institucionalidad y oferta cultural, agudizan esta situación que lesiona fuertemente los derechos políticos, sociales, culturales y económicos de las personas. Así es, aunque este es un flagelo mundial en el caso de Chile el ANALFABETISMO FUNCIONAL se explica en gran parte por la ausencia del Estado, incapaz de garantizar el aprendizaje y desarrollo de esta habilidad (la lectura) que permite a las personas el ejercicio de sus libertades y derechos humanos. Porque, más allá de la provisión de la educación formal como un derecho, el Estado de Chile abandona a sus ciudadanos en la tarea de fortalecer sus habilidades le"
619,"El Estado se comprometerá con el derecho a la búsqueda de la felicidad de cada individuo y de cada ser, pues ésta es el fin último del ser humano.",16,2022-01-20 01:09:28,derechos,4 - Derechos Fundamentales,Por Cristóbal Fernández G.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"Considerando que la felicidad es el fin último del ser humano, de acuerdo a la filosofía aristotélica y todas sus derivadas y ramas, así como desde otras corrientes de pensamiento, el Estado se debe comprometer con el derecho que cada persona tiene a la búsqueda de la misma, es decir, a la búsqueda de la felicidad. 

Se debe garantizar el derecho a la búsqueda de la felicidad (eso no significa que la encontremos, pero sí que se garantice la búsqueda).

Hoy por hoy, esa búsqueda se ve seriamente obstaculizada, especialmente cuando a veces parece que sólo quienes tienen recursos económicos significativos tienen derecho a la búsqueda de la felicidad. ¿Cómo encontrar la felicidad si no están cubiertas las necesidades más básicas? ¿Qué sentido tiene todo, si una persona ni siquiera tiene el derecho a buscar la felicidad, que es lo que lo define, en cuanto a que es su fin último?"
620,No estamos en guerra con nadie. Chile repudia y renuncia a la guerra.,491,2022-01-20 01:08:52,principios,"2 - Sobre Principios Constitucionales, Democracia, Nacionalidad y Ciudadanía",Por SANTIAGO MEDITA,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"Los conflictos sociales que hoy se presentan en el mundo, tales como: inmigración, medio ambiente, crisis financieras, cambio climático, entre otros, han significado un aumento en el nivel de violencia con el que se desarrollan dichas situaciones. Es en este contexto, que nos parece necesario aprender a resolver en colaboración los desafíos regionales y globales que aquejan a las sociedades del mundo. En particular, nuestro país ha suscrito varios tratados internacionales en los que se renuncia a la guerra como forma de resolución de conflictos. Sin embargo, creemos que es importante elevar a nivel constitucional el principio o la voluntad de Chile de repudiar y renunciar a la guerra y a todo conflicto armado.
Esta iniciativa toma como antecedente el proyecto de reforma constitucional (ver documento adjunto) presentado, entre otros, por el diputado Tomás Hirsch y el actual presidente electo de la república Gabriel Boric, el 22/10/2019."
621,Proyecto de integración escolar (PIE) o profesionales de apoyo en TODOS los colegios de Chile,204,2022-01-20 01:08:32,derechos,4 - Derechos Fundamentales,Por Sandra Cabezas,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"En nuestro pais, no todos los estblecimientos educacionales cuentan con programa de integracion escolar. En el caso de colegios subvencionados y particulares pagados, el sostenedor puede optar por no tener ningún profesional de apoyo para sus estudiantes, dentro del personal del establecimiento.
En Chile hay colegios que no tienen psicólog@, psicopdagog@ ni fonoaudiólog@, menos educador@s diferenciales (sin mencionar que no contratan psicopedagog@s en colegios municipales, sólo educador@s diferenciales)."
622,"Derecho a una vivienda digna, no cajas de fosforo. ",132,2022-01-20 01:07:30,derechos,4 - Derechos Fundamentales,Por Bárbara Reffer J.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"El problema es el mercadeo de la venta de viviendas, casas o departamentos. Donde hoy por hoy, no se promociona, ""vive aquí"", sino más bien ""invierte aquí"". Además de las dimensiones de las viviendas que se comercializan que invitan a los chilenos a formar familia (1 dormitorio, estudios (1 ambiente))."
623,Sala cuna de calidad para niños y niñas,69,2022-01-20 01:07:09,derechos,4 - Derechos Fundamentales,Por Marcela Merino M.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"Los estudios en neurociencia  señalan con claridad la importancia de los tres primeros años de vida para la potenciación de las conexiones neuronales que aseguren un futuro óptimo de aprendizajes . El derecho a sala cuna para todos los niños y niñas hoy es un mito, la institucionalidad actual sólo permite acceder a este nivel de educación parvularia a hijos hijas de mujeres que trabajen en un lugar en el que hayan veinte mujeres trabajando.
Los niños y niñas menores de dos años están absolutamente sin derecho alguno a educación de calidad."
624,intachable conducta anterior de autoridades y representatividad minima,128,2022-01-20 01:03:16,gobierno,"1 - Sobre Sistema Político, Gobierno, Poder Legislativo y Sistema Electoral",Por Gabriel Contreras O.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"providad de candidatos y representatividad, es impresentable que hoy se puedan presentar candidatos con medidas cautelares vigentes, con antecedentes penales, etc. a cargos de eleccion popular, por otro lado se debe reevaluar la representividad minima para ser candidato, evitando un exceso de candidatos, en especial presidenciales, son conocidas las famosas ""cadidaturas testimoniales"", nadie dice hacerlas pero en cada eleccion alli estan, basta con ver las ultima eleccion 9 en esta ocasion, lo que conlleva a un desmejoramiento de la democracia, ya que que con tal numero de canditatos, no es posible otorgar tiempos adecuados para informar y tomar una desicion informada, tanto en debates como en franjas electorales."
625,Ciencias de la Computación para las Escuelas de Chile,144,2022-01-20 01:02:03,conocimiento,"7 - Sistemas de Conocimientos, Culturas, Ciencia, Tecnología, Artes y Patrimonios",Por Juan Levicoy B.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"Estamos en medio de una revolución tecnológica. La automatización, los robots, la IA; están cambiando nuestro panorama social y económico a una velocidad sin precedente en la historia. Las oportunidades son tan grandes, que no necesitamos estar en Silicon Valley o cursar grandes estudios universitarios para aprovecharlas.  En este contexto Chile ha perdido competitividad técnica y estamos creando una enorme brecha digital, que va muchos mas allá de la infraestructura.  Necesitamos que todos, lo antes posible, aprendan los nuevos lenguajes de la tecnología y puedan forjarla en su beneficio."
626,Salud como un Constructo Social y como una Política de Estado que trasciende los Gobiernos.,47,2022-01-20 01:01:48,derechos,4 - Derechos Fundamentales,Por Mario Dastres M.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"En base al postulado del fundador de la Patología Médica, Dr. Rudolf Wirchow, expresado en que, La Medicina (Salud) es una Ciencia Social  y, la Política es la Medicina (Salud) a Gran Escala, y al último Paradigma de la Salud: la Declaración Internacional de Adelaida Salud en Todas las Políticas, se plantean el problema resumido en los puntos siguientes:
1.	A pesar de los esfuerzos durante décadas, se sigue gestionando la Salud desde una mirada hospitalocéntrica hoy en obsolescencia y bajo una concepción de la 
        Salud eminentemente  Biomédica aun lejos de una concepción Biosicosocial.
2.	Independiente de las normativas en vigencia sobre Participación Ciudadana en Salud, aun no se concreta una real Participación Comunitaria, Social y Ciudadana 
        en Salud, de acuerdo a lo definido por la OPS (Organización Panamericana de la Salud).
3.	Aunque nuestro país, adhiere a lo enunciado en la Declaración Internacional de Adelaida, sobre Salud en Todas las Políticas, los avances en hacerla efectiva, son 
        escasos, en virtud de los cambios de Gobierno y el continuo cambio en los énfasis al respecto.
4.	Aun no se logra priorizar las estrategias de Promoción de la Salud, Prevención y Educación en Salud, de manera de mejorar a mediano y largo plazo los 
        indicadores de Salud.
5.	Actualmente, independiente de los logros del Sistema Público de Salud, no se logra desarrollar esta y la Salud en general , con un Enfoque de Salud Pública, diferenciando este último concepto del de  Sistema Público de Salud."
627,"Conservar, aumentar e incluir la democracias, la autonomía en órganos del estado, para crear confianza y participación ciudadana en estos poderes.",19,2022-01-20 01:00:05,estado,"3 - Forma de Estado, Ordenamiento, Autonomía, Descentralización, Equidad, Justicia Territorial, Gobiernos Locales y Organización Fiscal",Por Jonas Alejandro González,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"Esta iniciativa apunta a conservar, aumentar e incluir órganos fundamentales del funcionamiento del estado, con el fin de otorgando o conservar la autonomía para su correcto funcionamiento, crear mayor trasparencia, confianza y participación ciudadana en estos cargos tan relevantes para Chile y sus habitantes. 
Consagrar la autonomía de órganos fundamentales del estado en la nueva constitución y cambiar el sistema de designación de estos poderes. 
*Contraloría
*Fiscalía Nacional 
*Banco Central
*Servicio de impuestos internos
*Servicio electoral
*Tribunal Constitucional"
628,Por un SERNAC con dientes,108,2022-01-20 00:59:48,estado,"3 - Forma de Estado, Ordenamiento, Autonomía, Descentralización, Equidad, Justicia Territorial, Gobiernos Locales y Organización Fiscal",Por Marta Raposo Q.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"Las personas comunes y corrientes estamos cansados de adquirir productos que funcionan mal o definitivamente no funcionan. Servicios caros y chantas que no cumplen con nuestras expectativas. A diario nos dormimos con la sensación de que nos han pasado gato por liebre. Nos sentimos robados, pero sin otra alternativa que aceptar la estafa. Alguien podría decir que existen vías para reclamar y tal vez tendría razón. Pero y sí las vías no son expeditas?  sí no son accesibles? Sí las alternativas son ahogarnos en un mar de burocracia y perder nuestro tiempo? Claro, la mayoría elegimos desistir e irnos a dormir con la rabia de sabernos engañados. 
Esta situación no debe seguir normalizándose. La solución está en nosotros."
629,"Niveles de referéndum, para que Chile sea una real democracia.",15,2022-01-20 00:59:32,gobierno,"1 - Sobre Sistema Político, Gobierno, Poder Legislativo y Sistema Electoral",Por Roberto Sapiain C.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"Veo que existen cosas que deberían ser votadas a nivel de referéndum, y actualmente son mínimas las instancias para ello..

Asegurar que a nivel constitucional esté la decisión y consulta por parte de la ciudadanía para materias relevantes, como lo son la ratificación de tratados que nos pondrán bajo reglas que después será casi imposible cambiar o negociar mejoras."
630,Consentimiento médico informado. Aceptar o rechazar un determinado tratamiento médico o vacunación debe ser una opción libre e individual.,17462,2022-01-20 00:59:16,derechos,4 - Derechos Fundamentales,Por Eduardo Waghorn H.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"CONSENTIMIENTO INFORMADO.
Principio consagrado en el artículo 19 números 1 y 6 de la actual Carta Fundamental. Toda intervención médica preventiva, diagnóstica y terapéutica sólo habrá de llevarse a cabo previo consentimiento libre e informado de la persona interesada, basado en la información adecuada. Cuando proceda, el consentimiento debería ser expreso y la persona interesada podrá revocarlo en todo momento y por cualquier motivo, sin que esto entrañe para ella desventaja o perjuicio alguno. Implica que nadie debe ser obligado o coaccionado a vacunarse o seguir cualquier otro tratamiento médico, debe respetarse la negativa del paciente. La persona interesada podrá revocar su consentimiento en todo momento y por cualquier motivo, sin que esto entrañe para ella desventaja o perjuicio alguno. Por tanto, el ""pase de movilidad"" es atentatorio contra la igualdad ante la ley ya que transforma en ciudadanos de segunda categoría a aquellos que no lo poseen, es una credencial digna de los peores regímenes dictatoriales y debe ser declarada arbitrario e ilegal, debe ser totalmente eliminado."
631,NO MÁS ZONAS DE SACRIFICIO AMBIENTAL,538,2022-01-20 00:58:44,medio_ambiente,"5 - Medio Ambiente, Derechos de la Naturaleza, Bienes Naturales Comunes y Modelo Económico",Por Claudia I. Poza,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"Chile es un país reconocido no sólo por la frecuencia de grandes desastres naturales (terremotos, volcanes, tsunamis,etc.), sino, también actualmente, por la acentuada contaminación y depredación de la naturaleza. Esto causa enfermedades castastróficas (cáncer, niños con trastorno cognitivo,mutaciones genéticas, entre otras.) en las llamadas ""zonas de sacrificio"", distribuidas a lo largo del país.

Se requiere, por tanto, un organismo permanente que se encargue de monitorear el real daño a la población provocado por estas entidades privadas, vele por la reparación a las personas afectadas y se encargue de supervisar el cierre o la modificación en el proceso de producción de estas empresas."
632,Equidad municipal.,53,2022-01-20 00:58:31,estado,"3 - Forma de Estado, Ordenamiento, Autonomía, Descentralización, Equidad, Justicia Territorial, Gobiernos Locales y Organización Fiscal",Por Roberto San Martín T.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"El problema que encontrado, es la mala distribución de financiamiento para las municipalidades. Que con lleva a una enorme brecha de beneficios entre ciudadanos, generándose las famosas tipificaciones de ciudadano tipo A, B, C, etc o barrios altos y barrios periféricos."
633,Justicia para todos,36,2022-01-20 00:56:57,justicia,"6 - Sistema de Justicia, Órganos Autónomos de Control y Reforma Constitucional",Por Manuel Córdova D.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"Chile es un productor de leyes con vacíos legales y  derechos y está convención no es la excepción .
En Chile tenemos gravísimas deficiencias en el código de procedimiento civil y sus procedimientos en el ordenamiento jurídico dejando un cuello de botella al 40% de la población prácticamente a la mitad del país con procesos burocráticos en las corporaciones de asistencias judiciales solo para poder entablar demandas y escritos causando demoras y con un maletín lleno de derechos fundamentales.
El estado de Chile debe garantizar la prontitud en el acceso a la justicia acelerando juicios de una justicia muy floja  y de la cual nadie nombra en Chile las notificaciones a las personas naturales o a las empresas son diferentes lo qué conlleva en igualdades ante la ley
Mi propuesta es qué cualquiera ciudadano pueda entablar demandas con formatos específicos por el poder judicial a través de la clave única y su respectivo portal,solo en esté paso el ciudadano recibe ayuda Jurídica a través de un sistema integral entré el ministerio justicia y el poder judicial.
Que  el estado cubra y garantize a los ciudadanos en causas de policía local, entendiéndose que todas las causas de derechos Sernac y otras pasan por esté,lo
Qué te dejá un maletín derechos sin representación e igualdad ante la ley frentes a las empresas.
El código de procedimiento civil es la base y la garantía de una democracia con derechos no garantizados y monopolizado por abogados colegiados y no oficiados dejando a lo jurídico por sobre lo natural y esté limitado a un código que es la clave a la cadena.
Ley, derechos, garantía y justicia."
634,Libertad de expresion y comunicación.,149,2022-01-20 00:56:45,derechos,4 - Derechos Fundamentales,Por Jaime Galaz V.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,Derecho de libertad de expresion y libertad de conciencia.
635,El POSICIONAMIENTO DE LA NUEVA INFRAESTRUCTURA DE ERNC DE PARTE DE LAS COMUNIDADES E INSTITUCIONES y la Nueva Constitución Chilena,9,2022-01-20 00:56:35,medio_ambiente,"5 - Medio Ambiente, Derechos de la Naturaleza, Bienes Naturales Comunes y Modelo Económico",Por Catalina Hirth I.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"El POSICIONAMIENTO DE LA NUEVA INFRAESTRUCTURA DE ERNC DE PARTE DE LAS COMUNIDADES E
INSTITUCIONES y la Nueva Constitución Chilena
La energía chilena se encuentra en manos de empresas privadas en su mayoría extranjeras, siendo un sistema centralizado que solo beneficia a los grandes inversionistas. Esto era comprensible en un sistema centralizado, basado en combustibles fósiles, que en su mayoría son importados, significando grandes inversiones y riesgos para los actores del área energética. Hoy el cambio de matriz energética chilena de los combustibles fósiles a las ERNC, es posible utilizando las energías primarias como sol, agua, viento, etc. Entrega la oportunidad que las comunas puedan generar su propia energía utilizando sus recursos propios disponibles para satisfacer sus demandas con ERNC Comunitarias."
636,CONTRALORIA CIUDADANA PARA UNA JUSTICIA REPRESENTATIVA,22,2022-01-20 00:55:54,justicia,"6 - Sistema de Justicia, Órganos Autónomos de Control y Reforma Constitucional",Por Matías Tomic N.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"Tenemos un sistema de justicia que no representa a la ciudadanía en cuanto a la impunidad y a las sanciones, lo que muchas veces se traduce en una sensación de puerta giratoria, ausencia del estado de derecho e injusticia, además de una relación costo - beneficio donde el costo de delinquir es mucho menor al beneficio de hacerlo."
637,Eutanasia ,523,2022-01-20 00:55:42,derechos,4 - Derechos Fundamentales,Por Blanca Castroviejo L.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,Derecho a una muerte digna
638," Toda persona tiene derecho a una movilidad segura""",118,2022-01-20 00:55:31,derechos,4 - Derechos Fundamentales,Por ONG NO CHAT,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"A nivel global, los siniestros de tránsito causan casi 1,3 millones de muertes evitables y 50 millones de lesiones cada año, que alteran considerablemente la vida de los y las sobrevivientes. Se estima que esto empeorará la próxima década, obstaculizando el desarrollo sostenible, en especial en países de ingresos bajos y medios. Estas cifras inaceptables, se han mantenido prácticamente sin cambios durante los últimos 20 años, a pesar de la labor de Naciones Unidas y otros órganos de seguridad vial. La Organización Mundial de la Salud (OMS), considera esto como una pandemia socio sanitaria, siendo una de las principales causas de muerte en todos los grupos etarios, y la primera causa de muerte en niños, niñas y jóvenes de 5 a 29 años.  

En Chile, cada año se pierden 1.600 vidas en el tránsito, y más de 56.000 personas resultan con lesiones de diversa gravedad, incluso quedando con alguna discapacidad de por vida. Los peatones/as, ciclistas y motociclistas, representan más del 50% de las muertes, según cifras de CONASET.  Esto, además de generar dolor y pérdidas económicas importantes para las personas y sus familias, genera un costo social de 2,2% de su PIB, que equivale a más de US$ 5.409 millones de dólares, ahorros que, de generarse, podrían invertirse en otros proyectos sociales, mejorando la calidad de vida de todos los chilenos y chilenas. 

Dado el nivel del problema y la necesidad de actuar, los gobiernos de todo el mundo declararon por unanimidad, a través de la Resolución 74/299 de la Asamblea General de las Naciones Unidas, una Segunda Década de Acción para la Seguridad Vial 2021- 2030 con el objetivo explícito de reducir las muertes y lesiones en el tránsito en ese periodo."
639,Ayudar a personas con discapacidad,78,2022-01-20 00:55:15,derechos,4 - Derechos Fundamentales,Por Viviana A. Barrera,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"Las personas no entiende muy bien como comunicar porque las personas oyente hablan muy rápido. También falta intérprete lengua de señas, por lo que hay discriminación hacia las personas con discapacidad.  Es necesario decir que en algunos casos las personas sordas no saben lengua de señas porque han crecido en una cultura oralista, en donde las personas sordas tienen que leer los labios para entender y poder comunicarse 
Otro ejemplo de discriminación es cuando se asiste a un lugar público como un centro de salud, en donde no hay intérprete y por lo tanto es díficil comunicarse, asi mismo pasa en un regristro civil y otros lugares más."
640,Tecnología con enfoque social.,24,2022-01-20 00:54:55,conocimiento,"7 - Sistemas de Conocimientos, Culturas, Ciencia, Tecnología, Artes y Patrimonios",Por Descuartizadora,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"Falta de acceso al conocimiento tecnológico por parte de minorías de género , etnicas , raciales y territoriales. Falta de alfabetizacion digital para personas de escasos recursos y para personas que viven en la ruralidad. Desconectividad en zonas rurales y de extrema pobreza. Falta de infraestructura de red en zonas alejadas de las ciudades.  Falta de incentivos para niñas y jóvenes en las áreas tecnologícas y científicas.  Falta de inclusion en proyectos tecnologicos a mujeres , disidencias y grupos minoritarios etnicos y raciales."
641,Administración Pública Libre de acoso sexual y violencias laborales,25,2022-01-20 00:54:43,derechos,4 - Derechos Fundamentales,Por Alicia Tardones A.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"Administración Pública libre de Acoso Sexual Laboral y Violencias en el Trabajo: el procedimiento de atención y denuncia del acoso sexual laboral y violencia en la Administración Pública, se desarrolla en base a la nortiva regular del Estatuto Administrativo, lo cual no contempla medidas especiales de protección de víctimas, plazos acotados de ejecución de sumario administrativo, capacitación de los investigadores, y medidas reparatorias a las víctimas; provocando la revictimización de la persona denunciante en un contexto laboral."
642,Reivindicación De Dictaduras,29,2022-01-20 00:54:11,principios,"2 - Sobre Principios Constitucionales, Democracia, Nacionalidad y Ciudadanía",Por Leonardo F. Díaz,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,Reivindicación de cualquier tipo de dictadura Chilena
643,EDUCACIÓN NO SEXISTA E INTEGRAL,209,2022-01-19 01:17:38,derechos,4 - Derechos Fundamentales,Por Fernanda Opazo C.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"En la educación chilena existen graves problemas de violencia de género, sexismo y no hay una adecuada educación sexual. Asimismo, existe escasa inclusión de los diversos tipos de géneros, entre otras cosas, lo que es un problema tanto estructural, como cultural y social. Estas falencias educativas repercuten en nuestra sociedad, en donde las mujeres y personas de las diversidades sexuales siguen siendo discriminadas y violentadas frecuentemente. 

Tomando en cuenta que en el capítulo III: De los Derechos Y Deberes Constitucionales, Artículo 19°, punto N°10, no asegura una educación no sexista, por lo que no se aplica en los establecimientos educacionales de forma obligatoria. Es derecho de todas las personas poder tener una educación no sexista e integral. 

Para poder tener nuestro Chile ideal es necesario hacer este cambio en la educación, ya que la educación es el principio de todo y es en donde aprendemos muchos valores que luego se aplican en nuestra vida diaria. Lo que se les enseña a lxs niñxs es esencial e importante, por lo que una educación sexual e integral tiene que ser un foco central."
644,Postergación de cambio de gobierno en situación de catástrofe,4,2022-01-19 01:17:24,gobierno,"1 - Sobre Sistema Político, Gobierno, Poder Legislativo y Sistema Electoral",Por Gerardo Leiva L.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"Enfrentado el país a una situación gran catástrofe y este coincide con el cambio de mando de gobierno, pienso que es un gran error que asuman equipos nuevos en el aparato público que desconocen la dinámica, los procedimientos y las normativas; todo el pueblo se expone, no solo una respuesta tardía, si no una mala respuesta, por al inexperiencia de los nuevos actores."
645,CREA ORGANISMO QUE ASEGURA VISITA  OBLIGATORIA  DE AUTORIDADES A TERRITORIOS O COMUNIDADES QUE SERÁN AFECTADAS POR SUS DISICIONES,4,2022-01-19 01:17:03,estado,"3 - Forma de Estado, Ordenamiento, Autonomía, Descentralización, Equidad, Justicia Territorial, Gobiernos Locales y Organización Fiscal",Por Carmen G. Herrera G.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"Considerando la experiencia de alta valoración que ha tenido la visita de la CC a Bio Bio, tanto para la comunidad como para los constituyentes, propongo que se cree un organismo permanente de alcance nacional o intraregional cuya función sea asegurar que las autoridades que toman decisiones que afectan a otros, tengan la obligación de visitar presencialmente la zona y/o grupo humano que se verá afectado por su decisión.  Estas visitas serán programadas y debidamente socializadas, con el fin de recibir información directa de las urgencias, intereses y propuestas de  los afectados directos y de técnicos o asesores, en terreno. Esta información debe ser formalmente consignada, publicada y gestionada por las autoridades competentes, dando respuesta formal a los participantes respecto a los criterios finales que se usaron para apoyar o rechazar un proyecto o medida."
646,"CORRESPONSABILIDAD EN LA CRIANZA, CUIDADOS Y DESARROLLO DE NIÑAS, NIÑOS Y JÓVENES",376,2022-01-19 01:16:44,derechos,4 - Derechos Fundamentales,Por Rodrigo Coloma G.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"Nuestra sociedad ha instalado el paradigma de que la crianza y cuidados de niños, niñas y jóvenes es una actividad principalmente de las mujeres, reproduciendo a través de los siglos una práctica machista que limita el desarrollo integral y paritario de este rol. 
En este contexto, específicamente en el ámbito del trabajo remunerado se han dictado leyes, diseñado políticas y creado instancias que han facilitado la incorporación de la mujer en el mundo laboral, tales como, derecho a sala cuna (en empresas con un mínimo de 20 trabajadoras), extensión del post natal femenino y fuero maternal, todas acciones que otorgan beneficios exclusivamente a las mujeres para desarrollar el rol de madre, pero que a la vez reproducen la lógica de cuidado y crianza en ellas, no garantizando el principio de que padre y madre tienen responsabilidades compartidas en la crianza. Además, estas medidas no consideran a la totalidad de niños y niñas como sujetos de derechos. Algunos ejemplos son:
	Derecho a sala cuna exclusivamente a hijos e hijas de mujeres que trabajan de forma dependiente en empresas con un mínimo de 20 trabajadoras, excluyendo a otros niños y niñas de madres con trabajo independiente, trabajo informal o de padres trabajadores que cumplen exactamente los mismos requisitos.
	Derecho a pre y post natal para madres trabajando de forma dependiente, sin considerar a toda mujer que desarrolla algún trabajo remunerado en otro formato."
647,RECICLAJE SIN RECICLADORES ES BASURA,342,2022-01-19 01:16:28,derechos,4 - Derechos Fundamentales,Por Asociación nacional de recicladores chile,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,"A la par con la caracterización de los recicladores de base, hay una tarea importante por dimensionar: el impacto socioeconómico y ambiental de la labor que realizan, ya que este grupo de hombres y mujeres aportan con su trabajo en todo el país y fortalecen la gestión de residuos. Sin embargo, los recicladores han permanecido casi invisibles, no reconocidos y sin validación en sus funciones.
Actualmente, el rol del reciclador de base no sólo no es incorporado en las políticas laborales, productivas y medioambientales, lo cual no sólo se traduce en precariedad y pobreza entre quienes realizan esta labor, sino que deriva también en la búsqueda de otros trabajos, con la sobrecarga laboral que ello implica
Por tanto, la ANARCH, en representación de los 60 mil recicladores de base de Chile, busca dar solución a nuestra situación de invisibilización y falta de reconocimiento de nuestro antiguo oficio de recolectores y cachureros, que por décadas hemos realizado, de manera informal, sin derechos laborales, políticos ni sociales, de manera gratuita, generando un importante impacto medio ambiental y económico al país, lo cual no ha sido valorado, en su justa medida, lo cual se evidencia no sólo en la falta de políticas públicas hacia el sector, sino también, en las pocas oportunidades de construcción conjunta, que debiera ser parte de una apertura y re-significación del aporte de los recicladores de base."
648,Voto obligatorio y derecho a sufragar a partir de los 16 años. ,103,2022-01-19 01:16:14,gobierno,"1 - Sobre Sistema Político, Gobierno, Poder Legislativo y Sistema Electoral",Por Daniel Pizarro M.,https://plataforma.chileconvencion.cl/m/iniciativa_popular/,Durante mucho tiempo se a visto mucha abstencion en las elecciones y como todos saben eso representa una real amenaza para el ciudadano y tambien para el pais.
